Value.CurrentRepetition,Value.ElapsedTime,Value.LostFocusTime,Value.Mode,Value.PatientID,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
,4481,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,RightControllerPosition,-0.05600651353597641,1.0200533866882324,0.5188060998916626
,4565,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,LeftControllerPosition,-0.2970114052295685,0.8518397212028503,0.3897494077682495
,4565,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,RightControllerPosition,-0.04860132560133934,1.025006651878357,0.5191805362701416
,4648,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,LeftControllerPosition,-0.2970346212387085,0.8515971899032593,0.39001139998435974
,4648,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,RightControllerPosition,-0.04324539750814438,1.0297749042510986,0.5195494294166565
,4732,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,LeftControllerPosition,-0.29679396748542786,0.8513369560241699,0.39018967747688293
,4732,,,,,7/29/2022 3:54:28 PM,FingerFollowData,,,RightControllerPosition,-0.03867195174098015,1.0353899002075195,0.5199458003044128
,4817,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,LeftControllerPosition,-0.2969750761985779,0.8512375950813293,0.3901824355125427
,4817,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,RightControllerPosition,-0.03431636467576027,1.0402345657348633,0.5197561383247375
,4900,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,LeftControllerPosition,-0.2969691753387451,0.8510758280754089,0.3903869688510895
,4900,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,RightControllerPosition,-0.03011154755949974,1.04433274269104,0.5193922519683838
,4983,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,LeftControllerPosition,-0.2968667447566986,0.8509089946746826,0.39044639468193054
,4983,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,RightControllerPosition,-0.02273133583366871,1.048654317855835,0.5195661187171936
,5066,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,LeftControllerPosition,-0.2966671586036682,0.8507773876190186,0.3904260993003845
,5066,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,RightControllerPosition,-0.013356355018913746,1.0561237335205078,0.5195392370223999
,5150,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,LeftControllerPosition,-0.296321302652359,0.8505222201347351,0.3902943432331085
,5150,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,RightControllerPosition,-0.003857068484649062,1.0640076398849487,0.5189482569694519
,5234,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,LeftControllerPosition,-0.2956208288669586,0.8502820134162903,0.3903019428253174
,5234,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,RightControllerPosition,0.004931024741381407,1.0706417560577393,0.5189253687858582
,5318,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,LeftControllerPosition,-0.2955751121044159,0.8503450751304626,0.39029279351234436
,5318,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,RightControllerPosition,0.008872115053236485,1.0719413757324219,0.5179744958877563
,5388,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,LeftControllerPosition,-0.2955453097820282,0.8504317402839661,0.390034943819046
,5388,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,RightControllerPosition,0.012000774964690208,1.0728216171264648,0.5177983641624451
,5472,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,LeftControllerPosition,-0.2953943610191345,0.8505447506904602,0.389771968126297
,5472,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,RightControllerPosition,0.018172752112150192,1.0769046545028687,0.518401026725769
,5555,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,LeftControllerPosition,-0.29509294033050537,0.8505933880805969,0.38980618119239807
,5555,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,RightControllerPosition,0.02595329098403454,1.0820136070251465,0.5195364356040955
,5639,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,LeftControllerPosition,-0.2949182391166687,0.8506890535354614,0.3897538185119629
,5639,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,RightControllerPosition,0.03237142041325569,1.0879186391830444,0.5196655988693237
,5722,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,LeftControllerPosition,-0.29469752311706543,0.8507840037345886,0.389591246843338
,5722,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,RightControllerPosition,0.03518245369195938,1.0897904634475708,0.5194680094718933
,5806,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,LeftControllerPosition,-0.29403868317604065,0.8509134650230408,0.3895714581012726
,5806,,,,,7/29/2022 3:54:29 PM,FingerFollowData,,,RightControllerPosition,0.03161642327904701,1.0886952877044678,0.5151472687721252
2,5833,0.19682300090789795,,,,7/29/2022 3:54:30 PM,,,,FingerFollowData,,,
2,5861,0.013577300123870373,,,,7/29/2022 3:54:30 PM,,,,FingerFollowData,,,
,5889,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,LeftControllerPosition,-0.2929343283176422,0.8508961796760559,0.3893991708755493
,5889,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,RightControllerPosition,0.02156771533191204,1.0817437171936035,0.5149796605110168
,5972,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,LeftControllerPosition,-0.29307126998901367,0.8510187864303589,0.38877952098846436
,5972,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,RightControllerPosition,0.010147021152079105,1.077746868133545,0.5156569480895996
,6056,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,LeftControllerPosition,-0.29326894879341125,0.8510218858718872,0.3887045681476593
